"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Absolute Orbit","Relative Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","Stack ID"
"S1A_IW_SLC__1SDV_20171224T230634_20171224T230701_019851_021C5C_7C7C","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19851","4","4","120","2017-12-24T23:07:01.285683","2017-12-25T06:49:04Z","SLC","2017-12-24T23:06:34.337339","2017-12-24T23:07:01.285683","38.1822","-77.2518","37.162899","-78.490799","37.564224","-75.639999","38.782967","-78.889977","39.183037","-75.97261","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171224T230634_20171224T230701_019851_021C5C_7C7C.zip","4.28 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171212T230634_20171212T230701_019676_0216FA_3A7F","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19676","4","4","120","2017-12-12T23:07:01.930869","2017-12-13T06:12:07Z","SLC","2017-12-12T23:06:34.986637","2017-12-12T23:07:01.930869","38.1824","-77.2518","37.163219","-78.49086","37.564541","-75.639984","38.783039","-78.889961","39.183105","-75.972527","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171212T230634_20171212T230701_019676_0216FA_3A7F.zip","4.32 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171130T230635_20171130T230702_019501_02117C_736C","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19501","4","4","120","2017-11-30T23:07:02.381342","2017-12-01T06:08:24Z","SLC","2017-11-30T23:06:35.441221","2017-11-30T23:07:02.381342","38.1821","-77.2514","37.163059","-78.49044","37.564346","-75.639671","38.782635","-78.889458","39.182667","-75.972145","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171130T230635_20171130T230702_019501_02117C_736C.zip","4.27 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171118T230635_20171118T230702_019326_020C04_1DF4","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19326","4","4","120","2017-11-18T23:07:02.701206","2017-11-19T06:03:49Z","SLC","2017-11-18T23:06:35.756974","2017-11-18T23:07:02.701206","38.1821","-77.2516","37.162952","-78.490662","37.564228","-75.639832","38.78278","-78.889717","39.1828","-75.972336","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171118T230635_20171118T230702_019326_020C04_1DF4.zip","4.32 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171106T230635_20171106T230702_019151_02068A_926A","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","19151","4","4","120","2017-11-06T23:07:02.880947","2017-11-07T07:30:29Z","SLC","2017-11-06T23:06:35.936715","2017-11-06T23:07:02.880947","38.1823","-77.2516","37.16312","-78.490524","37.564377","-75.639816","38.782951","-78.88958","39.182953","-75.972328","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171106T230635_20171106T230702_019151_02068A_926A.zip","4.28 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171025T230636_20171025T230703_018976_020121_C5B2","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18976","4","4","120","2017-10-25T23:07:03.099229","2017-10-29T04:43:08Z","SLC","2017-10-25T23:06:36.159108","2017-10-25T23:07:03.099229","38.1824","-77.2528","37.163273","-78.491745","37.564583","-75.641022","38.782856","-78.890785","39.182907","-75.973518","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171025T230636_20171025T230703_018976_020121_C5B2.zip","4.24 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20171013T230636_20171013T230703_018801_01FBD1_FAE3","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","18801","4","4","120","2017-10-13T23:07:03.068024","2017-10-16T15:24:24Z","SLC","2017-10-13T23:06:36.119681","2017-10-13T23:07:03.068024","38.1834","-77.253","37.16412","-78.491837","37.565418","-75.641243","38.784199","-78.891006","39.184242","-75.973854","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20171013T230636_20171013T230703_018801_01FBD1_FAE3.zip","4.34 GB","0","","","0",""
"S1A_IW_SLC__1SDV_20170110T230627_20170110T230654_014776_0180FC_CE66","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14776","4","4","120","2017-01-10T23:06:52Z","2017-01-16T17:16:58Z","SLC","2017-01-10T23:06:27Z","2017-01-10T23:06:52Z","38.1685","-77.2242","37.2094","-78.4692","37.6073","-75.6365","38.713","-78.8339","39.1093","-75.9422","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170110T230627_20170110T230654_014776_0180FC_CE66.zip","4.25 GB","-1","0","0","-1","0"
"S1A_IW_SLC__1SDV_20170122T230626_20170122T230653_014951_018677_96CC","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14951","4","4","120","2017-01-22T23:06:52Z","2017-05-04T12:24:54Z","SLC","2017-01-22T23:06:27Z","2017-01-22T23:06:52Z","38.1683","-77.2248","37.2093","-78.4698","37.6073","-75.6372","38.7129","-78.8346","39.1092","-75.9429","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170122T230626_20170122T230653_014951_018677_96CC.zip","4.35 GB","-1","0","0","-1","0"
"S1A_IW_SLC__1SDV_20170203T230626_20170203T230653_015126_018BC1_2F5E","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15126","4","4","120","2017-02-03T23:06:52Z","2017-05-16T09:57:24Z","SLC","2017-02-03T23:06:27Z","2017-02-03T23:06:52Z","38.1684","-77.225","37.2093","-78.47","37.6073","-75.6373","38.7129","-78.8347","39.1093","-75.9431","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170203T230626_20170203T230653_015126_018BC1_2F5E.zip","4.28 GB","-1","0","0","-1","0"
"S1A_IW_SLC__1SDV_20170215T230626_20170215T230653_015301_01914D_3D8D","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15301","4","4","120","2017-02-15T23:06:52Z","2017-06-14T01:24:44Z","SLC","2017-02-15T23:06:27Z","2017-02-15T23:06:52Z","38.1793","-77.2387","37.217","-78.504","37.621","-75.6302","38.7206","-78.8695","39.1229","-75.9358","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170215T230626_20170215T230653_015301_01914D_3D8D.zip","4.33 GB","-1","0","0","-1","0"
"S1A_IW_SLC__1SDV_20170227T230626_20170227T230653_015476_0196A4_17CE","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15476","4","4","120","2017-02-27T23:06:52Z","2017-06-25T15:21:26Z","SLC","2017-02-27T23:06:27Z","2017-02-27T23:06:52Z","38.1793","-77.2381","37.2171","-78.5034","37.621","-75.6295","38.7206","-78.8689","39.1229","-75.9351","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170227T230626_20170227T230653_015476_0196A4_17CE.zip","4.28 GB","-1","0","0","-1","0"
"S1A_IW_SLC__1SDV_20170311T230626_20170311T230653_015651_019BED_AAEE","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15651","4","4","120","2017-03-11T23:06:52Z","2017-06-15T09:21:05Z","SLC","2017-03-11T23:06:27Z","2017-03-11T23:06:52Z","38.1793","-77.2383","37.2171","-78.5036","37.6209","-75.6298","38.7206","-78.869","39.1229","-75.9354","NaN","Ascending","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170311T230626_20170311T230653_015651_019BED_AAEE.zip","4.27 GB","-1","0","0","-1","0"
